                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9316,                 4.6718,                 1.4847,                0.63051,                   0.28,                0.31358,                0.21837,                 1.2662,                 5.4339,                 1.2205,                0.09208,                  8e-05,                  8e-05
                      2,                 1.2992,                 3.1185,                 1.2004,                0.68221,                0.44828,                0.38566,                0.28189,                 1.1086,                 4.5799,                 1.1732,                0.08317,             0.00016992,             0.00016992
                      3,                 1.1741,                 3.5623,                 1.1999,                 0.9967,                0.33333,                0.43585,                0.25319,                 1.2372,                 10.076,                 1.1656,                0.07426,             0.00025974,             0.00025974
                      4,                 1.2919,                 2.7713,                 1.2028,                0.34669,                0.66092,                0.36342,                 0.2467,                 1.2123,                 11.398,                 1.0689,               0.065349,             0.00034948,             0.00034948
                      5,                 1.3039,                 2.0426,                 1.2164,                 0.3334,                0.29833,                0.30751,                0.23102,                 1.1198,                    inf,                 2.6672,               0.056439,             0.00043912,             0.00043912
                      6,                 1.2767,                 2.2488,                 1.2677,                0.38269,                0.81795,                0.35311,                0.23664,                 1.2021,                    inf,                 2.5322,               0.047529,             0.00052868,             0.00052868
                      7,                 1.2387,                 2.5114,                 1.2819,                 0.0005,                0.11667,                 0.0007,                0.00013,                 1.3235,                    inf,                 2.0098,               0.038618,             0.00061814,             0.00061814
                      8,                 1.1721,                 2.2791,                 1.1654,                0.29691,                0.23008,                0.26508,                0.16707,                    nan,                    nan,                    nan,               0.029708,             0.00070752,             0.00070752
                      9,                 1.1085,                 2.0469,                 1.1374,                0.29691,                0.23008,                0.26508,                0.16707,                    nan,                    nan,                    nan,               0.020797,              0.0007968,              0.0007968
                     10,                 1.2191,                 2.1068,                 1.2243,                0.18901,                0.29579,                0.12655,                0.09858,                    nan,                    nan,                    nan,               0.011886,               0.000886,               0.000886
                     11,                 1.3465,                 2.2706,                 1.2792,                0.18901,                0.29579,                0.12655,                0.09858,                    nan,                    nan,                    nan,              0.0029751,              0.0009751,              0.0009751
                     12,                 1.2472,                 1.7008,                   1.21,                 0.6293,                0.54469,                0.57431,                0.42211,                 1.0812,                 3.0485,                 1.1733,              0.0009945,              0.0009945,              0.0009945
                     13,                 1.2557,                 1.5783,                 1.1832,                 0.6293,                0.54469,                0.57431,                0.42211,                 1.0812,                 3.0485,                 1.1733,              0.0009945,              0.0009945,              0.0009945
                     14,                 1.1279,                 1.4256,                 1.1857,                0.35739,                 0.6341,                0.60899,                0.44686,                  1.149,                 23.349,                 2.0004,               0.000994,               0.000994,               0.000994
                     15,                  1.142,                 1.4973,                  1.209,                0.38886,                0.62502,                0.38433,                0.29273,                    nan,                    nan,                    nan,              0.0009935,              0.0009935,              0.0009935
                     16,                 1.1675,                 2.2157,                 1.1936,                0.38886,                0.62502,                0.38433,                0.29273,                    nan,                    nan,                    nan,               0.000993,               0.000993,               0.000993
                     17,                 1.1726,                 1.9303,                 1.2231,                 0.3423,                0.30736,                0.22173,                0.16213,                 1.0619,                    inf,                 4.7344,              0.0009925,              0.0009925,              0.0009925
                     18,                 1.2026,                 1.7502,                 1.1608,                 0.3423,                0.30736,                0.22173,                0.16213,                 1.0619,                    inf,                 4.7344,               0.000992,               0.000992,               0.000992
                     19,                  1.145,                  1.568,                 1.1479,                0.65945,                0.62318,                0.63524,                0.49943,                 0.9139,                 4.3078,                 1.2769,              0.0009915,              0.0009915,              0.0009915
                     20,                 1.1135,                 1.2867,                  1.145,                0.65945,                0.62318,                0.63524,                0.49943,                 0.9139,                 4.3078,                 1.2769,               0.000991,               0.000991,               0.000991
                     21,                 1.1654,                 1.6693,                 1.2652,                0.62954,                0.60993,                0.62583,                0.48265,                0.90723,                 4.6954,                 1.1708,              0.0009905,              0.0009905,              0.0009905
                     22,                 1.1446,                 1.6105,                 1.2308,                 0.3823,                0.59925,                0.38139,                0.26432,                 1.0312,                 6.8644,                 1.4434,                0.00099,                0.00099,                0.00099
                     23,                 1.0913,                 1.2728,                 1.1144,                 0.3823,                0.59925,                0.38139,                0.26432,                 1.0312,                 6.8644,                 1.4434,              0.0009895,              0.0009895,              0.0009895
                     24,                 1.1619,                 1.2303,                 1.1676,                 0.3823,                0.59925,                0.38139,                0.26432,                0.90482,                    inf,                 1.0369,               0.000989,               0.000989,               0.000989
                     25,                 1.0356,                 1.1855,                   1.12,                 0.3823,                0.59925,                0.38139,                0.26432,                0.90482,                    inf,                 1.0369,              0.0009885,              0.0009885,              0.0009885
                     26,                 1.0243,                 1.1061,                  1.095,                0.33333,                0.07471,                0.20402,                0.16343,                0.93331,                    inf,                 1.2031,               0.000988,               0.000988,               0.000988
                     27,                0.98595,                  1.063,                 1.0567,                0.33333,                0.07471,                0.20402,                0.16343,                0.93331,                    inf,                 1.2031,              0.0009875,              0.0009875,              0.0009875
                     28,                 1.0006,                 1.0826,                  1.101,                0.76241,                0.59961,                0.50007,                 0.3359,                0.94167,                 2.3907,                0.99886,               0.000987,               0.000987,               0.000987
                     29,                 1.0189,                 1.2069,                 1.0998,                0.76241,                0.59961,                0.50007,                 0.3359,                0.94167,                 2.3907,                0.99886,              0.0009865,              0.0009865,              0.0009865
                     30,                0.99235,                 1.0681,                  1.062,                0.96167,                0.58064,                0.75723,                0.46871,                 1.0669,                 1.1925,                 1.0423,               0.000986,               0.000986,               0.000986
                     31,                 1.0393,                 1.1598,                 1.0962,                0.99166,                0.60662,                0.78211,                0.50371,                 1.0074,                 1.0289,                 1.0197,              0.0009855,              0.0009855,              0.0009855
                     32,                0.94548,                 1.0038,                 1.0593,                0.99166,                0.60662,                0.78211,                0.50371,                 1.0074,                 1.0289,                 1.0197,               0.000985,               0.000985,               0.000985
                     33,                0.97837,                0.95669,                 1.0574,                 0.6904,                0.96552,                0.75726,                0.54009,                0.86466,                0.91125,                 0.9296,              0.0009845,              0.0009845,              0.0009845
                     34,                0.94298,                 1.0016,                 1.0423,                 0.6904,                0.96552,                0.75726,                0.54009,                0.86466,                0.91125,                 0.9296,               0.000984,               0.000984,               0.000984
                     35,                0.88658,                 0.9375,                 1.0334,                0.99303,                0.63218,                0.68504,                0.54014,                0.80562,                0.87367,                0.91648,              0.0009835,              0.0009835,              0.0009835
                     36,                0.86788,                0.86827,                 1.0419,                0.99303,                0.63218,                0.68504,                0.54014,                0.80562,                0.87367,                0.91648,               0.000983,               0.000983,               0.000983
